Advertiser/Account ID/Account Name,Calculation2,Market,Platform
SAGE|DISPLAY|AUS (5236173), ,AUS,DCM
Sage|AU, ,AUS,DS3
1.63904E+15, ,AUS,Facebook
Sage Asia - No Access, ,AUS,Linkedin
Sage Australia FY1617 Q1 to Q4  - No Access, ,AUS,Linkedin
SC_Sage Software_Direct_Placeholder_Q3 2017, ,AUS,Linkedin
18ce54aq693, ,AUS,Twitter
18ce540bpdq, ,AUS,Twitter
SAGE|DISPLAY|US, ,CA,DCM
Sage|CA|Accountants, ,CA,DS3
Sage|CA|Accounting_Finance, ,CA,DS3
Sage|CA|BMS, ,CA,DS3
Sage|CA|Cross-Segment, ,CA,DS3
Sage|CA|Enterprise, ,CA,DS3
Sage|CA|People & Payroll, ,CA,DS3
Sage|CA|Small, ,CA,DS3
Sage|CA|VISA, ,CA,DS3
Sage_DE_DBM, ,DE,DBM
SAGE|DE, ,DE,DCM
SAGE|DISPLAY|DE, ,DE,DCM
SAGE (Local Advertiser) - Legacy, ,DE,DS3
SAGE|DE (Global Advertiser) - New, ,DE,DS3
7.1759E+14, ,DE,Facebook
1.10091E+15, ,DE,Facebook
1.19337E+15, ,DE,Facebook
Sage_Campaigns_NEO_DE, ,DE,Linkedin
18ce53yupgw, ,DE,Twitter
Sage|ES, ,ES,DBM
SAGE|DISPLAY|ES, ,ES,DCM
SAGE|SEARCH|ES, ,ES,DS3
4.78607E+14, ,ES,Facebook
1.23788E+15, ,ES,Facebook
2.18497E+15, ,ES,Facebook
2.1995E+15, ,ES,Facebook
InMail_01_15447382_Spain_Mgr+ AND Ind= Manufacturing/Services/Transportation AND Function = IT/Ops/, ,ES,Linkedin
InMail_01_Sage Forum_Director+And Csize=0-200 _14703862, ,ES,Linkedin
InMail_02_Sage Forum_Director + And Opinion leaders, ,ES,Linkedin
InMail_Sage neo@ogilvy MBS 2871 Q4 2016// 16782142, ,ES,Linkedin
Inmail_Sage neo@ogilvy sparta Q3 2016//15987382, ,ES,Linkedin
Inmail_Sage_Neo Sage 3127 Live Q2 DOM // 18673702, ,ES,Linkedin
InMail_Sage_neo@ogilvy Accounting_2919_Q1 2017 DOM // 17310262, ,ES,Linkedin
InMail_Sage_Neo@ogilvy BMS 3028 spain // 17396182, ,ES,Linkedin
Inmail_Sage_Neo@ogilvy Sage Live 3038 Q1 2017 // 18333622, ,ES,Linkedin
InMail_Sage:neo@ogilvy Plan_Sage_Summit_Madrid_3056 // 18414742, ,ES,Linkedin
Línea de Crédito Sage Portugal, ,ES,Linkedin
LMS_SAGE SP SL_Sponsored Content, ,ES,Linkedin
LMS_SAGE SP SL_Sponsored InMail, ,ES,Linkedin
LMS_SAGE SP SL-Sage neo 3207 SII Q2 2017 DOM_Sponsored InMail, ,ES,Linkedin
SAGE Línea de Crédito, ,ES,Linkedin
Sage neo@ogilvy Accountant roadshow Q3 2016// 16168822, ,ES,Linkedin
Sage neo@ogilvy MBS 2871 Q4 2016  // 16782142, ,ES,Linkedin
Sage neo@ogilvy Q4 2015 // 13095502, ,ES,Linkedin
Sage X3 2759 neo@ogilvy Q3 2016 // 55257022, ,ES,Linkedin
Sage X3 2759 neo@ogilvy Q3 2016// 16467622, ,ES,Linkedin
Sage_Neo@ogilvy Q4 2017 DOM_InMail, ,ES,Linkedin
Sage_Neo@ogilvy Q4 2017 DOM_Sponsored Content, ,ES,Linkedin
Sage_Q3 SU_Standard_15856702, ,ES,Linkedin
SU_SAGE Forum Ogilvy Q1 2015_14703862, ,ES,Linkedin
SU_Sage neo@ogilvy Accountant roadshow Q3 2016_16168822, ,ES,Linkedin
SU_Sage neo@ogilvy Accounting General 2858 Q4 2016//16851262, ,ES,Linkedin
SU_sage neo@ogilvy Q4 DG entreprise 2015_13463542, ,ES,Linkedin
SU_Sage neo@ogilvy sparta Q3 2016_15987382, ,ES,Linkedin
SU_Sage_Neo Sage 3127 Live Q2 DOM  // 18673702, ,ES,Linkedin
SU_Sage_neo@ogilvy Accountant Q2 3069 2017 DOM // 18844102, ,ES,Linkedin
SU_Sage_Neo@ogilvy BMS 3028 spain // 17396182, ,ES,Linkedin
SU_Sage_Neo@ogilvy Sage Live 3038 Q1 2017 // 18333622, ,ES,Linkedin
SU_Sage:neo@ogilvy Plan_Sage_Summit_Madrid_3056 // 18414742, ,ES,Linkedin
18ce53uwe4q, ,ES,Twitter
FR|SAGE|DBM|FR|GLOBAL, ,FR,DBM
FR|SAGE|DBM|FR|LOCAL, ,FR,DBM
SAGE|DBM|FR|GLOBAL, ,FR,DBM
SAGE|DBM|FR|LOCAL, ,FR,DBM
SAGE|DISPLAY|FR, ,FR,DCM
SAGE|FR, ,FR,DCM
SAGE|SEARCH|FR, ,FR,DS3
1.18321E+15, ,FR,Facebook
SAGE_Addedvalue_FY18, ,FR,Linkedin
SAGE_LINKEDIN_Q42018, ,FR,Linkedin
18ce53yh15j, ,FR,Twitter
SAGE - APAC - NEO - Hong Kong, ,HK,DS3
SAGE - APAC - NEO - Indonesia -, ,ID,DS3
IE | Sage | 2018, ,IE,DBM
SAGE|IE (5238770), ,IE,DCM
Sage|IE, ,IE,DS3
SAGE - APAC - NEO - Malaysia, ,MY,DS3
Sage|PT, ,PT,DBM
SAGE|DISPLAY|PT, ,PT,DCM
SAGE|SEARCH|PT, ,PT,DS3
1.12251E+15, ,PT,Facebook
7.81421E+14, ,PT,Facebook
1.8222E+14, ,PT,Facebook
1.90852E+14, ,PT,Facebook
3.22729E+14, ,PT,Facebook
Línea de Crédito Sage Portugal Account ID: 503256374, ,PT,Linkedin
SAGE - APAC - NEO - Singapore, ,SG,DS3
SAGE - APAC - NEO - Thailand, ,TH,DS3
Sage Accountants Global UK, ,UK,DBM
Sage Accounting Global UK, ,UK,DBM
Sage BMS Local, ,UK,DBM
Sage Business Management, ,UK,DBM
Sage Finance Category, ,UK,DBM
Sage Global HR & Payroll UK, ,UK,DBM
Sage Impact Local, ,UK,DBM
Sage One UK, ,UK,DBM
Sage Pay UK, ,UK,DBM
Sage Payments Global UK, ,UK,DBM
Sage Payroll UK, ,UK,DBM
UK | Sage | 2018, ,UK,DBM
Sage|UK(8205616), ,UK,DCM
Sage|UK, ,UK,DS3
2.97863E+14, ,UK,Facebook
3.27418E+14, ,UK,Facebook
7.93011E+14, ,UK,Facebook
8.28305E+14, ,UK,Facebook
8.28307E+14, ,UK,Facebook
8.2831E+14, ,UK,Facebook
9.29858E+14, ,UK,Facebook
1.0762E+15, ,UK,Facebook
1.0762E+15, ,UK,Facebook
1.0762E+15, ,UK,Facebook
1.09963E+15, ,UK,Facebook
1.09963E+15, ,UK,Facebook
1.09965E+15, ,UK,Facebook
1.10174E+15, ,UK,Facebook
