idName,id,extension,name,fileName
NUSA - Beverage - CMN - Coffeemate Natural Bliss,269-388-2653,xlsx,adgroup,adgroup_2693882653.xlsx
NUSA - Beverage - CSO - Nescafe Clasico,116-639-3006,xlsx,adgroup,adgroup_1166393006.xlsx
WIN - International - ALT - Abuelita,431-967-7985,xlsx,adgroup,adgroup_4319677985.xlsx
NUSA - Beverage - CMT - Coffeemate Base,158-351-7871,xlsx,adgroup,adgroup_1583517871.xlsx
NUSA - Beverage - CSH - Coffee Shake,453-927-0323,xlsx,adgroup,adgroup_4539270323.xlsx
NUSA - Beverage - CSO - Nescafe Clasico GSP,453-927-0323,xlsx,adgroup,adgroup_4539270323.xlsx
NUSA - Beverage - CWL - Cold Whipped Latte,181-609-6405,xlsx,adgroup,adgroup_1816096405.xlsx
NUSA – Beverage – HCM – Coffeemate Hispanic,420-394-6697,xlsx,adgroup,adgroup_4203946697.xlsx
NUSA – Beverage – HCN – Coffeemate Natural Bliss Hispanic,152-186-6303,xlsx,adgroup,adgroup_1521866303.xlsx
NUSA - Beverage - HNQ - Nesquik Hispanic Market,602-324-7787,xlsx,adgroup,adgroup_6023247787.xlsx
NUSA - Beverage - NQK - Nesquik General Market,209-469-5355,xlsx,adgroup,adgroup_2094695355.xlsx
NUSA - NDIC - DMS - Drumstick,784-085-3018,xlsx,adgroup,adgroup_7840853018.xlsx
NUSA - NDIC - EDY - Edy's/Dreyer's,236-091-1063,xlsx,adgroup,adgroup_2360911063.xlsx
NUSA - NDIC - FBR - Outshine,484-147-4028,xlsx,adgroup,adgroup_4841474028.xlsx
NUSA - NDIC - HDH - Haagen-Dazs Hispanic,110-683-9042,xlsx,adgroup,adgroup_1106839042.xlsx
NUSA - NDIC - HDZ - Haagen Dazs - Base,854-915-9053,xlsx,adgroup,adgroup_8549159053.xlsx
WIN - International - LCH - La Lechera,428-690-8687,xlsx,adgroup,adgroup_4286908687.xlsx
WIN - International - MBS - Multibrand,697-555-6971,xlsx,adgroup,adgroup_6975556971.xlsx
WIN - International - ND1 - NIDO 1+,494-777-0773,xlsx,adgroup,adgroup_4947770773.xlsx
NUSA - SKIC - SCW - Skinny Cow Ice Cream,560-609-6528,xlsx,adgroup,adgroup_5606096528.xlsx
NUSA - NDIC - WBS - Warner Brothers,890-485-6511,xlsx,adgroup,adgroup_8904856511.xlsx
WHIN - Nutrition - GMB - Gerber Masterbrand,785-134-3612,xlsx,adgroup,adgroup_7851343612.xlsx
WHIN - Nutrition - GRD - Gerber Snacks,433-054-1001,xlsx,adgroup,adgroup_4330541001.xlsx
WHIN - Health Science - CBE - CBE GMAIL,695-128-6119,xlsx,adgroup,adgroup_6951286119.xlsx
WHIN - Health Science - BST - Boost,627-972-3773,xlsx,adgroup,adgroup_6279723773.xlsx
WHIN - Health Science - CBE - CBE,522-726-9759,xlsx,adgroup,adgroup_5227269759.xlsx
Galderma - Cetaphil - Core,302-727-5183,xlsx,adgroup,adgroup_3027275183.xlsx
Galderma - Differin,884-041-9335,xlsx,adgroup,adgroup_8840419335.xlsx
NUSA - NPSD - DGN - DiGiorno,390-237-7357,xlsx,adgroup,adgroup_3902377357.xlsx
NUSA - NPSD - TSN - Tombstone,890-272-4371,xlsx,adgroup,adgroup_8902724371.xlsx
NUSA - Prepared - BTN - Buitoni,348-378-8508,xlsx,adgroup,adgroup_3483788508.xlsx
NUSA - NPSD - CPK - CPK Frozen,965-833-8128,xlsx,adgroup,adgroup_9658338128.xlsx
NUSA - NPSD - HDG - DiGiorno - Hispanic,649-720-8234,xlsx,adgroup,adgroup_6497208234.xlsx
NUSA - NPSD - HHP - Hot Pockets Hispanic,309-912-3975,xlsx,adgroup,adgroup_3099123975.xlsx
NUSA - NPSD - HTP - Hot Pockets - General Market,995-053-2006,xlsx,adgroup,adgroup_9950532006.xlsx
NUSA - NPSD - JAC - Jack's,486-592-0283,xlsx,adgroup,adgroup_4865920283.xlsx
NUSA - Prepared - LCN - Lean Cuisine,770-280-0651,xlsx,adgroup,adgroup_7702800651.xlsx
NUSA - Baking - NTH - Toll House,815-004-7014,xlsx,adgroup,adgroup_8150047014.xlsx
NUSA - NPSD - OSP - Outsiders,396-368-2017,xlsx,adgroup,adgroup_3963682017.xlsx
NUSA - Prepared - SFK - Stouffer's - Fit Kitchen,472-824-7079,xlsx,adgroup,adgroup_4728247079.xlsx
NUSA - Prepared - SFM - Stouffer's,597-764-6212,xlsx,adgroup,adgroup_5977646212.xlsx
NUSA - Baking - CAR - Carnation,835-650-0578,xlsx,adgroup,adgroup_8356500578.xlsx
NUSA - NDIC - BGI - Big Gay Ice Cream,618-722-7252,xlsx,adgroup,adgroup_6187227252.xlsx
NUSA - NDIC - FPW - Frosty Paws,803-365-0104,xlsx,adgroup,adgroup_8033650104.xlsx
