Placement,Product
PK4HK8_PARKERS_Mazda 3 Keywords_300 x 250_Cross Device_Site Specific,Parkers MPU
PK4HKD_PARKERS_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,Parkers MPU
PK4HKG_PARKERS_MX-5 Keywords_300 x 250_Cross Device_Site Specific,Parkers MPU
PK4HKM_PARKERS_CX-3 Keywords_300 x 250_Cross Device_Site Specific,Parkers MPU
PK4HKV_PARKERS_CX-5 Keywords_300 x 250_Cross Device_Site Specific,Parkers MPU
PKB3GW_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB3GZ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB3H2_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
PKB3H6_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB3KV_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB3ZH_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Captify Prospecting
PKB3ZP_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Captify Prospecting
PKB3ZX_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Captify Prospecting
PKB401_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Captify Prospecting
PKB405_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Captify Prospecting
DataXu Mazda 2 brochure 120x600,DataXu Brochure
DataXu Mazda 2 financial 120x600,DataXu Financial
DataXu Mazda 3 brochure 728x90,DataXu Brochure
DataXu Mazda MX5 financial 468x60,DataXu Financial
PK4HN8_MOTORING.CO.UK_Mazda 2 Keywords_300 x 250_Cross Device_Site Specific,Motoring Keyword Targeting
PK4HND_MOTORING.CO.UK_Mazda 3 Keywords_300 x 250_Cross Device_Site Specific,Motoring Keyword Targeting
PK4HNM_MOTORING.CO.UK_Mazda 6 Keywords_300 x 250_Cross Device_Site Specific,Motoring Keyword Targeting
PK4HP0_MOTORING.CO.UK_MX-5 Keywords_300 x 250_Cross Device_Site Specific,Motoring Keyword Targeting
