Placement,Site Name
P2|Mazda|UK|Display|Autotrader|All|MX-5 RF|None|Consumer|Tactical|Prospecting|Native|Awareness|BAU|1x1|None|Standard Edition|None|DCM,Auto Trader UK
P2|Mazda|UK|Display|Autotrader|All|Mazda2|None|Consumer|Tactical|Prospecting|Native|Awareness|BAU|1x1|None|Standard Edition|None|DCM,Auto Trader UK
P2|Mazda|UK|Display|Autotrader|All|Mazda3|Hatchback|Consumer|Tactical|Prospecting|Native|Awareness|BAU|1x1|None|Standard Edition|None|DCM,Auto Trader UK
P2|Mazda|UK|Display|Autotrader|All|Mazda6|Saloon|Consumer|Tactical|Prospecting|Native|Awareness|BAU|1x1|None|Standard Edition|None|DCM,Auto Trader UK
P2|Mazda|UK|Display|Autotrader|All|SUV|CX-3|Consumer|Tactical|Prospecting|Native|Awareness|BAU|1x1|None|Sport|None|DCM,Auto Trader UK
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|MX-5 RF|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|160x600|Financial|Standard Edition|45283386|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|MX-5 RF|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|160x600|Test Drive|Standard Edition|45283386|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|MX-5 RF|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45299897|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|MX-5 RF|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45299897|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|MX-5 RF|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45300529|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|MX-5 RF|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45300529|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|Mazda2|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|160x600|Financial|Standard Edition|45298018|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|Mazda2|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45297698|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|Mazda2|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45298091|DCM,Auto Trader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Autotrader|All|Mazda3|None|Consumer|Tactical|Prospecting|PMP|Awareness|BAU|160x600|Financial|Standard Edition|45300591|DCM,Auto Trader PMP
