Application,Channel,Clicks,Contact,Conversions,Date,Download,Free Trial,Impressions,Market,Other Activity,Other Dynamic Floodlight,Product,Publisher,Purchase,Social Platform Conversions,Solution,Spend,Spend Local
0,SEARCH,587,3,14,2018-12-01,0,11,3117,FR,320,0,Small Business,Google AdWords,3,0,Small Business,713.09,829.18
0,SEARCH,590,2,18,2018-12-02,0,16,3692,FR,320,1,Small Business,Google AdWords,2,0,Small Business,805.88,937.08
0,SEARCH,888,18,40,2018-12-03,0,22,5708,FR,639,2,Small Business,Google AdWords,1,0,Small Business,1333.67,1550.82
0,SEARCH,1056,15,38,2018-12-04,0,23,5470,FR,705,4,Small Business,Google AdWords,2,0,Small Business,1334.23,1551.42
0,SEARCH,1019,16,39,2018-12-05,0,23,6088,FR,723,5,Small Business,Google AdWords,1,0,Small Business,1300.34,1511.99
0,SEARCH,1006,14,36,2018-12-06,0,22,5434,FR,630,4,Small Business,Google AdWords,1,0,Small Business,1363.62,1585.63
0,SEARCH,837,11,31,2018-12-07,0,20,5175,FR,670,2,Small Business,Google AdWords,1,0,Small Business,1265.88,1471.92
0,SEARCH,306,2,18,2018-12-08,0,16,2246,FR,198,1,Small Business,Google AdWords,3,0,Small Business,751.03,873.31
0,SEARCH,315,0,10,2018-12-09,0,10,2488,FR,252,2,Small Business,Google AdWords,3,0,Small Business,788.79,917.19
0,SEARCH,790,9,29,2018-12-10,0,20,4752,FR,659,3,Small Business,Google AdWords,1,0,Small Business,1490.81,1733.58
0,SEARCH,805,11,31,2018-12-11,0,20,4587,FR,696,2,Small Business,Google AdWords,1,0,Small Business,1639.78,1906.72
0,SEARCH,800,13,26,2018-12-12,0,13,4979,FR,720,6,Small Business,Google AdWords,3,0,Small Business,1434.4,1667.91
0,SEARCH,724,15,24,2018-12-13,0,9,4411,FR,573,3,Small Business,Google AdWords,3,0,Small Business,1367.21,1589.78
0,SEARCH,724,10,33,2018-12-14,0,23,4307,FR,569,0,Small Business,Google AdWords,2,0,Small Business,1381.68,1606.64
0,SEARCH,342,1,15,2018-12-15,0,14,2509,FR,251,1,Small Business,Google AdWords,2,0,Small Business,769.95,895.29
0,SEARCH,345,2,18,2018-12-16,0,16,2550,FR,230,3,Small Business,Google AdWords,2,0,Small Business,869.18,1010.68
0,SEARCH,805,11,32,2018-12-17,0,21,4820,FR,658,3,Small Business,Google AdWords,3,0,Small Business,1511.11,1757.1
0,SEARCH,747,10,33,2018-12-18,0,23,4607,FR,646,2,Small Business,Google AdWords,0,0,Small Business,1279.19,1487.41
0,SEARCH,822,11,41,2018-12-19,0,30,4750,FR,734,6,Small Business,Google AdWords,3,0,Small Business,1509.98,1755.82
0,SEARCH,736,12,31,2018-12-20,0,19,4461,FR,632,0,Small Business,Google AdWords,1,0,Small Business,1120.5,1302.87
0,SEARCH,687,8,23,2018-12-21,0,15,4011,FR,603,2,Small Business,Google AdWords,4,0,Small Business,1324.34,1539.94
0,SEARCH,314,1,13,2018-12-22,0,12,2210,FR,279,3,Small Business,Google AdWords,0,0,Small Business,684.47,795.89
0,SEARCH,230,1,14,2018-12-23,0,13,2001,FR,130,2,Small Business,Google AdWords,0,0,Small Business,536.26,623.56
0,SEARCH,284,4,12,2018-12-24,0,8,2124,FR,229,0,Small Business,Google AdWords,3,0,Small Business,587.52,683.17
0,SEARCH,188,1,4,2018-12-25,0,3,1485,FR,112,0,Small Business,Google AdWords,1,0,Small Business,492.03,572.15
0,SEARCH,475,8,25,2018-12-26,2,15,2979,FR,338,2,Small Business,Google AdWords,0,0,Small Business,1050.61,1221.64
0,SEARCH,573,4,29,2018-12-27,0,25,3261,FR,531,4,Small Business,Google AdWords,0,0,Small Business,1173.62,1364.72
0,SEARCH,541,5,23,2018-12-28,1,17,3075,FR,432,1,Small Business,Google AdWords,3,0,Small Business,1150.24,1337.49
0,SEARCH,310,0,14,2018-12-29,0,14,2170,FR,291,1,Small Business,Google AdWords,1,0,Small Business,744.84,866.07
0,SEARCH,282,1,25,2018-12-30,0,24,2004,FR,208,0,Small Business,Google AdWords,0,0,Small Business,665.4,773.71
0,SEARCH,296,2,17,2018-12-31,0,15,2015,FR,243,1,Small Business,Google AdWords,1,0,Small Business,582.23,677.01
0,SEARCH,0,0,0,2018-12-01,0,0,0,FR,,0,Unassigned,Bing Ads,0,0,Unassigned,0,0
