Activity,ActivityName
Audience_ACC_sageonede_SABCB_,Audience_ACC_sageonede_SABCB_
Audience_Payroll_sageonede_lohn-und-gehalt_SABCL_,Audience_Payroll_sageonede_lohn-und-gehalt_SABCL_
Dynamic_audience_tag,Dynamic_audience_tag
FL_AWIN_Journey,FL_AWIN_Journey
FL_AWIN_Tracking_Script,FL_AWIN_Tracking_Script
Audience_FIN_landing_sagede_finanzen_CRFG_,Audience_FIN_landing_sagede_finanzen_CRFG_
Sage SBShop Checkout page DE_CONV_SALE_SSBS_SWO_IBUY_,Sage SBShop Checkout page DE_CONV_SALE_SSBS_SWO_IBUY_
Sage SBShop confirm page DE,Sage SBShop confirm page DE
Sage SBShop shippingPayment page DE,Sage SBShop shippingPayment page DE
Audience_BMS_produkte_sagede_sage100cloud_S100C_,Audience_BMS_produkte_sagede_sage100cloud_S100C_
Conversion_Sage_SageOfficeLine_Confirmation_CONV_SOO_SWO_ITRS_,Conversion_Sage_SageOfficeLine_Confirmation_CONV_SOO_SWO_ITRS_
Sage Global_Sage_100_Produkttour_SHUN_CONV_ITRS_,Sage Global_Sage_100_Produkttour_SHUN_CONV_ITRS_
Sage Global_Accounting_CONV_page DE #L1_SGO_SWO_ITRS_,Sage Global_Accounting_CONV_page DE #L1_SGO_SWO_ITRS_
Sage Global_Accounting_CONV_page DE_SGO_SWO_ITRS_,Sage Global_Accounting_CONV_page DE_SGO_SWO_ITRS_
Sage One Lohn & Gehalt 30 Tage Test_CONV_SOP_SSP_ITRS_,Sage One Lohn & Gehalt 30 Tage Test_CONV_SOP_SSP_ITRS_
Sage One Payroll - Jetzt 30 Tage kostenlos testen _CONV_ITRS,Sage One Payroll - Jetzt 30 Tage kostenlos testen _CONV_ITRS
Audience_kampagnensagede,Audience_kampagnensagede
Conversion_kampagnensagede,Conversion_kampagnensagede
Sagex3.com_Remarketing_Sage Global_Business Management Solutions_SGX_Landing page DE,Sagex3.com_Remarketing_Sage Global_Business Management Solutions_SGX_Landing page DE
Audience_BMS_landing_sagede_software_erp_ENTM_,Audience_BMS_landing_sagede_software_erp_ENTM_
Audience_Payroll_sage-entgeltde_SABCLP_,Audience_Payroll_sage-entgeltde_SABCLP_
Homepage - Sage Treuhandangebot,Homepage - Sage Treuhandangebot
Sage Live_trial submissions_Button onClick_Guided Tour_SGL_CONV_ITRS_,Sage Live_trial submissions_Button onClick_Guided Tour_SGL_CONV_ITRS_
Sage SBShop cart page DE,Sage SBShop cart page DE
Audience_People_produkte_sagede_sage-people_SABCP_,Audience_People_produkte_sagede_sage-people_SABCP_
Registrierung Einfachlohn_CONV_SOP_ITRS_,Registrierung Einfachlohn_CONV_SOP_ITRS_
Sage Summit_Transactions_SSUMMIT_,Sage Summit_Transactions_SSUMMIT_
Audience_Payroll_landing_sagede_solution-payroll_PAYR_,Audience_Payroll_landing_sagede_solution-payroll_PAYR_
Sage Solution Office Online_CONV_1_SOO_SWO_ITRS_,Sage Solution Office Online_CONV_1_SOO_SWO_ITRS_
Audience_People_landing_sagede_sage-hr-suite_SAHRSP_,Audience_People_landing_sagede_sage-hr-suite_SAHRSP_
Conversion 1 Guided Tour CRM-X-Sell _CONV _ITRS _SHUN_SWO_,Conversion 1 Guided Tour CRM-X-Sell _CONV _ITRS _SHUN_SWO_
Conversion 2 Guided Tour CRM-X-Sell_CONV,Conversion 2 Guided Tour CRM-X-Sell_CONV
Retargeting CRM-X-Sell,Retargeting CRM-X-Sell
Sage Global_Business Management Solutions_SGX Tour_CONV_page DE_ITRS_,Sage Global_Business Management Solutions_SGX Tour_CONV_page DE_ITRS_
Sage Solution Office Online_CONV_2_SOO_SWO_ITRS_,Sage Solution Office Online_CONV_2_SOO_SWO_ITRS_
